name,slug,description,address,city,state,zip,country,latitude,longitude,phone,email,website,denomination,church_network,worship_style,service_times,ministries,languages,kids_ministry,youth_ministry,college_ministry,small_groups,online_service,online_service_url,accessibility,parking_info,profile_image_url,gallery_urls,verified,claimed,featured,active
"Poplar Springs Baptist Church","poplar-springs-baptist-gainesville","Historic Baptist church with strong community roots and family ministry.","3104 Poplar Springs Church Rd","Gainesville","GA","30501","US",34.2750,-83.8450,"(770) 536-0000","","poplarsprings.life","Baptist","","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Sunday School, Children's Ministry, Youth Ministry, Small Groups","English",true,true,true,true,true,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Riverbend Baptist Church","riverbend-baptist-gainesville","Dynamic Baptist congregation with contemporary worship and community engagement.","1715 Cleveland Highway","Gainesville","GA","30501","US",34.2850,-83.8200,"(770) 532-1125","","riverbendchurch.life","Baptist","","Contemporary","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Youth Ministry, Small Groups, Community Outreach, Contemporary Worship","English",true,true,true,true,true,"","Wheelchair accessible, Accessible restrooms","Ample parking available","","",true,false,false,true
"Northwood Assembly of God","northwood-ag-gainesville","Pentecostal church with emphasis on Holy Spirit empowerment and worship.","5053 Thompson Bridge Road","Gainesville","GA","30501","US",34.2950,-83.8100,"(770) 536-8768","","","Assemblies of God","AG","Contemporary","{""day"":""Sunday"",""time"":""10:30 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Worship Ministry, Youth Programs, Prayer Ministry","English",true,true,false,true,false,"","Wheelchair accessible","Ample parking available","","",true,false,false,true
"Compass Church","compass-church-gainesville","Community-focused non-denominational church with contemporary worship.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","compasschurchmo.online.church","Non-Denominational","","Contemporary","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Youth Ministry, Children's Ministry, Small Groups, Worship","English",true,true,true,true,true,"","Wheelchair accessible","Ample parking available","","",true,false,false,true
"Glory Tabernacle Ministries","glory-tabernacle-gainesville","Worship-focused ministry with strong prayer and intercession emphasis.","1834 Floyd Road","Gainesville","GA","30501","US",34.3050,-83.8350,"(770) 534-5831","","","Pentecostal","","Contemporary","{""day"":""Sunday"",""time"":""10:00 AM""},{""day"":""Sunday"",""time"":""6:00 PM""}","Prayer Ministry, Worship, Intercession","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Good Shepherd Lutheran Church","good-shepherd-lutheran-gainesville","Lutheran congregation with traditional liturgical worship.","600 S Enota Drive NE","Gainesville","GA","30501","US",34.2850,-83.8150,"(770) 532-2428","","","Lutheran","LCMS","Liturgical","{""day"":""Sunday"",""time"":""10:30 AM""}","Adult Education, Music Ministry, Community Service","English",true,false,false,true,false,"","Wheelchair accessible, Accessible restrooms","Parking available","","",true,false,false,true
"First Presbyterian Church","first-presbyterian-church-gainesville","Historic Presbyterian church with strong tradition and community presence.","800 S Enota Drive NE","Gainesville","GA","30501","US",34.2850,-83.8160,"(770) 532-0136","","fpcga.org","Presbyterian","PCUSA","Liturgical","{""day"":""Sunday"",""time"":""10:00 AM""}","Adult Formation, Music Ministry, Community Outreach, Sunday School","English",true,false,false,true,false,"","Wheelchair accessible, Accessible restrooms","Parking available","","",true,false,false,true
"Canaan Baptist Church","canaan-baptist-church-gainesville","Traditional Baptist church with strong biblical emphasis and family focus.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","cbcgainesville.org","Baptist","","Traditional","{""day"":""Sunday"",""time"":""10:00 AM""}","Sunday School, Youth Ministry, Community Service","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"St. John Baptist Church","st-john-baptist-church-gainesville","Community Baptist church serving the Gainesville area with spiritual focus.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","","Baptist","","Traditional","{""day"":""Sunday"",""time"":""11:00 AM""}","Sunday School, Community Fellowship, Youth Programs","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
"Gainesville Baptist Church","gainesville-baptist-main-church","Community-oriented Baptist church with traditional worship and outreach.","","Gainesville","GA","30501","US",34.2835,-83.8247,"(770) 536-0000","","gainesvillebaptistchurch.com","Baptist","","Traditional","{""day"":""Sunday"",""time"":""9:30 AM""},{""day"":""Sunday"",""time"":""11:00 AM""}","Sunday School, Youth Ministry, Community Service","English",true,true,false,true,false,"","Wheelchair accessible","Parking available","","",true,false,false,true
